"Time","Result (Magnitude) (stats)"
234,1.97967e-05
235,2.02774e-05
236,2.07644e-05
237,2.12579e-05
238,2.17578e-05
239,2.22643e-05
240,2.27774e-05
241,2.32973e-05
242,2.3824e-05
243,2.43577e-05
244,2.48985e-05
245,2.54464e-05
246,2.60016e-05
247,2.65642e-05
248,2.71343e-05
249,2.77121e-05
250,2.82977e-05
251,2.88912e-05
252,2.94927e-05
253,3.01024e-05
254,3.07204e-05
255,3.13468e-05
256,3.19817e-05
257,3.26253e-05
258,3.32777e-05
259,3.3939e-05
260,3.46093e-05
261,3.52887e-05
262,3.59774e-05
263,3.66755e-05
264,3.73829e-05
265,3.80999e-05
266,3.88264e-05
267,3.95626e-05
268,4.03086e-05
269,4.10643e-05
270,4.18298e-05
271,4.26052e-05
272,4.33904e-05
273,4.41856e-05
274,4.49905e-05
275,4.58054e-05
276,4.66301e-05
277,4.74645e-05
278,4.83087e-05
279,4.91626e-05
280,5.0026e-05
281,5.0899e-05
282,5.17813e-05
283,5.26729e-05
284,5.35736e-05
285,5.44833e-05
286,5.54018e-05
287,5.6329e-05
288,5.72647e-05
289,5.82087e-05
290,5.91608e-05
291,6.01207e-05
292,6.10884e-05
293,6.20635e-05
294,6.30458e-05
295,6.40351e-05
296,6.50312e-05
297,6.60338e-05
298,6.70427e-05
299,6.80577e-05
300,6.90785e-05
301,7.0105e-05
302,7.11368e-05
303,7.21738e-05
304,7.32158e-05
305,7.42626e-05
306,7.5314e-05
307,7.63698e-05
308,7.74299e-05
309,7.84941e-05
310,7.95624e-05
311,8.06346e-05
312,8.17107e-05
313,8.27905e-05
314,8.3874e-05
315,8.49613e-05
316,8.60523e-05
317,8.71469e-05
318,8.82454e-05
319,8.93477e-05
320,9.0454e-05
321,9.15643e-05
322,9.26787e-05
323,9.37975e-05
324,9.49208e-05
325,9.60488e-05
326,9.71817e-05
327,9.83197e-05
328,9.94632e-05
329,0.000100612
330,0.000101767
331,0.000102928
332,0.000104096
333,0.00010527
334,0.000106452
335,0.000107641
336,0.000108838
337,0.000110042
338,0.000111255
339,0.000112477
340,0.000113707
341,0.000114947
342,0.000116196
343,0.000117454
344,0.000118723
345,0.000120002
346,0.000121291
347,0.00012259
348,0.0001239
349,0.000125221
350,0.000126553
351,0.000127895
352,0.000129249
353,0.000130613
354,0.000131988
355,0.000133375
356,0.000134771
357,0.000136179
358,0.000137597
359,0.000139025
360,0.000140464
361,0.000141912
362,0.00014337
363,0.000144837
364,0.000146313
365,0.000147798
366,0.000149291
367,0.000150792
368,0.0001523
369,0.000153816
370,0.000155338
371,0.000156867
372,0.000158401
373,0.000159941
374,0.000161486
375,0.000163035
376,0.000164588
377,0.000166145
378,0.000167705
379,0.000169268
380,0.000170833
381,0.0001724
382,0.000173969
383,0.000175539
384,0.000177109
385,0.000178681
386,0.000180252
387,0.000181824
388,0.000183396
389,0.000184967
390,0.000186537
391,0.000188107
392,0.000189677
393,0.000191245
394,0.000192812
395,0.000194378
396,0.000195944
397,0.000197509
398,0.000199072
399,0.000200635
400,0.000202198
401,0.00020376
402,0.000205321
403,0.000206883
404,0.000208445
405,0.000210007
406,0.000211569
407,0.000213133
408,0.000214697
409,0.000216263
410,0.000217831
411,0.0002194
412,0.000220972
413,0.000222546
414,0.000224123
415,0.000225703
416,0.000227286
417,0.000228873
418,0.000230463
419,0.000232058
420,0.000233656
421,0.000235259
422,0.000236866
423,0.000238477
424,0.000240094
425,0.000241715
426,0.00024334
427,0.000244971
428,0.000246606
429,0.000248246
430,0.00024989
431,0.000251539
432,0.000253193
433,0.000254851
434,0.000256513
435,0.000258178
436,0.000259848
437,0.000261521
438,0.000263196
439,0.000264875
440,0.000266557
441,0.00026824
442,0.000269926
443,0.000271613
444,0.000273301
445,0.00027499
446,0.00027668
447,0.00027837
448,0.000280059
449,0.000281748
450,0.000283436
451,0.000285123
452,0.000286809
453,0.000288492
454,0.000290173
455,0.000291852
456,0.000293528
457,0.000295201
458,0.000296871
459,0.000298537
460,0.000300199
461,0.000301858
462,0.000303513
463,0.000305164
464,0.000306811
465,0.000308453
466,0.000310091
467,0.000311725
468,0.000313354
469,0.000314979
470,0.000316599
471,0.000318216
472,0.000319828
473,0.000321435
474,0.000323039
475,0.000324638
476,0.000326233
477,0.000327825
478,0.000329412
479,0.000330996
480,0.000332576
481,0.000334153
482,0.000335726
483,0.000337295
484,0.000338862
485,0.000340425
486,0.000341984
487,0.00034354
488,0.000345094
489,0.000346643
490,0.00034819
491,0.000349733
492,0.000351273
493,0.00035281
494,0.000354343
495,0.000355873
496,0.000357399
497,0.000358921
498,0.000360439
499,0.000361953
500,0.000363462
501,0.000364968
502,0.000366468
503,0.000367964
504,0.000369454
505,0.00037094
506,0.00037242
507,0.000373894
508,0.000375362
509,0.000376823
510,0.000378279
511,0.000379728
512,0.00038117
513,0.000382605
514,0.000384033
515,0.000385453
516,0.000386866
517,0.000388271
518,0.000389669
519,0.000391058
520,0.00039244
521,0.000393813
522,0.000395179
523,0.000396536
524,0.000397885
525,0.000399225
526,0.000400558
527,0.000401882
528,0.000403198
529,0.000404506
530,0.000405806
531,0.000407098
532,0.000408382
533,0.000409659
534,0.000410927
535,0.000412188
536,0.000413441
537,0.000414687
538,0.000415926
539,0.000417157
540,0.00041838
541,0.000419597
542,0.000420806
543,0.000422008
544,0.000423203
545,0.00042439
546,0.00042557
547,0.000426743
548,0.000427908
549,0.000429065
550,0.000430215
551,0.000431356
552,0.00043249
553,0.000433615
554,0.000434731
555,0.000435838
556,0.000436935
557,0.000438023
558,0.000439101
559,0.000440169
560,0.000441225
561,0.000442271
562,0.000443305
563,0.000444327
564,0.000445337
565,0.000446334
566,0.000447317
567,0.000448287
568,0.000449243
569,0.000450185
570,0.000451111
571,0.000452023
572,0.000452919
573,0.0004538
574,0.000454665
575,0.000455513
576,0.000456346
577,0.000457162
578,0.000457961
579,0.000458743
580,0.000459509
581,0.000460259
582,0.000460992
583,0.000461708
584,0.000462408
585,0.000463092
586,0.00046376
587,0.000464413
588,0.00046505
589,0.000465673
590,0.000466281
591,0.000466876
592,0.000467456
593,0.000468024
594,0.000468579
595,0.000469122
596,0.000469653
597,0.000470173
598,0.000470683
599,0.000471183
600,0.000471674
601,0.000472156
602,0.000472629
603,0.000473094
604,0.000473552
605,0.000474003
606,0.000474448
607,0.000474886
608,0.000475318
609,0.000475745
610,0.000476167
611,0.000476583
612,0.000476994
613,0.000477401
614,0.000477803
615,0.0004782
616,0.000478592
617,0.000478979
618,0.000479362
619,0.000479739
620,0.000480111
621,0.000480477
622,0.000480837
623,0.000481192
624,0.000481539
625,0.00048188
626,0.000482213
627,0.000482539
628,0.000482856
629,0.000483165
630,0.000483465
631,0.000483755
632,0.000484036
633,0.000484305
634,0.000484564
635,0.000484812
636,0.000485048
637,0.000485272
638,0.000485484
639,0.000485683
640,0.000485869
641,0.000486042
642,0.000486201
643,0.000486347
644,0.000486479
645,0.000486598
646,0.000486703
647,0.000486794
648,0.000486871
649,0.000486935
650,0.000486985
651,0.000487022
652,0.000487046
653,0.000487057
654,0.000487055
655,0.000487042
656,0.000487016
657,0.000486979
658,0.000486931
659,0.000486872
660,0.000486802
661,0.000486723
662,0.000486634
663,0.000486536
664,0.000486429
665,0.000486314
666,0.000486191
667,0.00048606
668,0.000485922
669,0.000485776
670,0.000485624
671,0.000485466
672,0.000485302
673,0.000485131
674,0.000484955
675,0.000484772
676,0.000484585
677,0.000484392
678,0.000484193
679,0.000483989
680,0.000483779
681,0.000483564
682,0.000483343
683,0.000483116
684,0.000482884
685,0.000482645
686,0.0004824
687,0.000482149
688,0.000481891
689,0.000481627
690,0.000481355
691,0.000481076
692,0.00048079
693,0.000480496
694,0.000480195
695,0.000479885
696,0.000479567
697,0.000479241
698,0.000478907
699,0.000478564
700,0.000478212
701,0.000477852
702,0.000477483
703,0.000477105
704,0.000476719
705,0.000476325
706,0.000475922
707,0.00047551
708,0.000475091
709,0.000474664
710,0.000474229
711,0.000473787
712,0.000473337
713,0.000472881
714,0.000472418
715,0.000471948
716,0.000471473
717,0.000470992
718,0.000470506
719,0.000470014
720,0.000469518
721,0.000469017
722,0.000468513
723,0.000468004
724,0.000467491
725,0.000466975
726,0.000466456
727,0.000465933
728,0.000465407
729,0.000464879
730,0.000464347
731,0.000463812
732,0.000463274
733,0.000462732
734,0.000462188
735,0.000461639
736,0.000461087
737,0.000460531
738,0.00045997
739,0.000459405
740,0.000458834
741,0.000458257
742,0.000457674
743,0.000457085
744,0.000456488
745,0.000455884
746,0.000455271
747,0.000454649
748,0.000454017
749,0.000453376
750,0.000452723
751,0.000452059
752,0.000451384
753,0.000450695
754,0.000449994
755,0.000449279
756,0.00044855
757,0.000447806
758,0.000447048
759,0.000446274
760,0.000445485
761,0.000444679
762,0.000443858
763,0.00044302
764,0.000442166
765,0.000441295
766,0.000440408
767,0.000439505
768,0.000438585
769,0.000437649
770,0.000436698
771,0.00043573
772,0.000434748
773,0.00043375
774,0.000432738
775,0.000431712
776,0.000430672
777,0.00042962
778,0.000428555
779,0.000427478
780,0.00042639
781,0.000425291
782,0.000424181
783,0.000423063
784,0.000421935
785,0.000420799
786,0.000419655
787,0.000418504
788,0.000417345
789,0.000416181
790,0.00041501
791,0.000413834
792,0.000412652
793,0.000411466
794,0.000410275
795,0.000409079
796,0.000407878
797,0.000406673
798,0.000405464
799,0.00040425
800,0.000403032
801,0.000401808
802,0.00040058
803,0.000399346
804,0.000398107
805,0.000396862
806,0.00039561
807,0.000394351
808,0.000393085
809,0.000391811
810,0.000390528
811,0.000389236
812,0.000387934
813,0.000386622
814,0.0003853
815,0.000383965
816,0.000382619
817,0.00038126
818,0.000379888
819,0.000378501
820,0.000377101
821,0.000375686
822,0.000374256
823,0.000372811
824,0.00037135
825,0.000369872
826,0.000368379
827,0.00036687
828,0.000365344
829,0.000363802
830,0.000362243
831,0.000360669
832,0.000359079
833,0.000357473
834,0.000355852
835,0.000354217
836,0.000352567
837,0.000350903
838,0.000349227
839,0.000347538
840,0.000345838
841,0.000344126
842,0.000342405
843,0.000340674
844,0.000338935
845,0.000337188
846,0.000335435
847,0.000333676
848,0.000331912
849,0.000330144
850,0.000328374
851,0.0003266
852,0.000324826
853,0.000323051
854,0.000321276
855,0.000319502
856,0.000317729
857,0.000315959
858,0.000314191
859,0.000312427
860,0.000310666
861,0.000308909
862,0.000307156
863,0.000305408
864,0.000303664
865,0.000301925
866,0.00030019
867,0.000298459
868,0.000296733
869,0.000295011
870,0.000293292
871,0.000291577
872,0.000289865
873,0.000288154
874,0.000286445
875,0.000284738
876,0.00028303
877,0.000281323
878,0.000279614
879,0.000277903
880,0.00027619
881,0.000274473
882,0.000272752
883,0.000271026
884,0.000269294
885,0.000267556
886,0.000265811
887,0.000264057
888,0.000262295
889,0.000260524
890,0.000258743
891,0.000256953
892,0.000255151
893,0.000253339
894,0.000251516
895,0.000249681
896,0.000247835
897,0.000245978
898,0.000244109
899,0.00024223
900,0.000240339
901,0.000238438
902,0.000236528
903,0.000234607
904,0.000232678
905,0.000230741
906,0.000228797
907,0.000226846
908,0.00022489
909,0.000222929
910,0.000220964
911,0.000218997
912,0.000217029
913,0.00021506
914,0.000213092
915,0.000211127
916,0.000209165
917,0.000207207
918,0.000205255
919,0.000203311
920,0.000201374
921,0.000199446
922,0.000197529
923,0.000195623
924,0.000193729
925,0.000191848
926,0.000189982
927,0.00018813
928,0.000186294
929,0.000184473
930,0.00018267
931,0.000180883
932,0.000179113
933,0.000177361
934,0.000175627
935,0.00017391
936,0.000172211
937,0.00017053
938,0.000168866
939,0.000167218
940,0.000165587
941,0.000163973
942,0.000162373
943,0.000160789
944,0.000159219
945,0.000157662
946,0.000156118
947,0.000154586
948,0.000153065
949,0.000151554
950,0.000150053
951,0.00014856
952,0.000147076
953,0.000145598
954,0.000144127
955,0.000142662
956,0.000141201
957,0.000139746
958,0.000138294
959,0.000136846
960,0.000135401
961,0.000133959
962,0.00013252
963,0.000131083
964,0.00012965
965,0.000128219
966,0.000126791
967,0.000125367
968,0.000123946
969,0.00012253
970,0.000121118
971,0.000119711
972,0.000118311
973,0.000116917
974,0.000115531
975,0.000114153
976,0.000112784
977,0.000111425
978,0.000110077
979,0.000108741
980,0.000107418
981,0.000106108
982,0.000104813
983,0.000103533
984,0.00010227
985,0.000101023
986,9.97941e-05
987,9.85836e-05
988,9.73921e-05
989,9.62201e-05
990,9.50682e-05
991,9.39368e-05
992,9.28261e-05
993,9.17366e-05
994,9.06684e-05
995,8.96216e-05
996,8.85963e-05
997,8.75925e-05
998,8.66102e-05
999,8.56493e-05
1000,8.47095e-05
1001,8.37906e-05
1002,8.28923e-05
1003,8.20144e-05
1004,8.11564e-05
1005,8.03179e-05
1006,7.94985e-05
1007,7.86977e-05
1008,7.79151e-05
1009,7.71502e-05
1010,7.64026e-05
1011,7.56718e-05
1012,7.49573e-05
1013,7.42588e-05
1014,7.35759e-05
1015,7.29082e-05
1016,7.22554e-05
1017,7.16174e-05
1018,7.09939e-05
1019,7.03848e-05
1020,6.97902e-05
1021,6.92099e-05
1022,6.86442e-05
1023,6.80932e-05
1024,6.75572e-05
1025,6.70364e-05
1026,6.65312e-05
1027,6.60421e-05
1028,6.55695e-05
1029,6.51139e-05
1030,6.46758e-05
1031,6.42558e-05
1032,6.38545e-05
1033,6.34724e-05
1034,6.31099e-05
1035,6.27677e-05
1036,6.24462e-05
1037,6.21457e-05
1038,6.18667e-05
1039,6.16093e-05
1040,6.13739e-05
1041,6.11604e-05
1042,6.09691e-05
1043,6.07998e-05
1044,6.06525e-05
1045,6.05269e-05
1046,6.04229e-05
1047,6.03402e-05
1048,6.02782e-05
1049,6.02368e-05
1050,6.02153e-05
1051,6.02132e-05
1052,6.02301e-05
1053,6.02653e-05
1054,6.03182e-05
1055,6.03882e-05
1056,6.04746e-05
1057,6.05769e-05
1058,6.06941e-05
1059,6.08257e-05
1060,6.09708e-05
1061,6.11287e-05
1062,6.12985e-05
1063,6.14793e-05
1064,6.16704e-05
1065,6.18706e-05
1066,6.20791e-05
1067,6.22949e-05
1068,6.2517e-05
1069,6.27442e-05
1070,6.29757e-05
1071,6.32102e-05
1072,6.34468e-05
1073,6.36844e-05
1074,6.39222e-05
1075,6.41591e-05
1076,6.43944e-05
1077,6.46272e-05
1078,6.48569e-05
1079,6.5083e-05
1080,6.5305e-05
1081,6.55226e-05
1082,6.57357e-05
1083,6.59443e-05
1084,6.61485e-05
1085,6.63486e-05
1086,6.65451e-05
1087,6.67386e-05
1088,6.69298e-05
